x-position,y-position,real part of ef,imaginary part of ef,reduced shear
   1.51805,  -0.83114,   0.40283,   0.13687,  0.098297
   1.45806,   0.38018,  -0.24944,   0.14421,  0.114337
  -0.83218,   1.61478,   0.36067,  -0.18934,  0.093135
   1.09617,  -1.55918,   0.18140,  -0.04228,  0.088237
  -1.44828,  -1.24688,   0.15266,   0.24939,  0.087969
  -1.65270,  -1.69215,   0.03818,  -0.16187,  0.068710
   0.34179,   0.89670,   0.16974,  -0.07732,  0.182010
  -0.81652,  -1.26519,   0.42411,  -0.15815,  0.114420
   1.32514,  -0.50472,  -0.26761,   0.18029,  0.122003
  -1.55506,   1.63764,   0.32901,   0.29349,  0.072567
   1.27905,   0.71621,   0.17812,   0.27681,  0.117759
  -1.84072,  -0.18050,   0.22183,  -0.65561,  0.091276
   0.84912,  -1.25405,   0.09066,   0.14739,  0.113714
   0.98305,  -1.18586,  -0.25051,   0.50910,  0.111657
  -1.78966,  -0.65081,  -0.12006,  -0.01228,  0.088322
   1.23524,  -0.66798,   0.06942,  -0.08707,  0.123269
  -1.13705,  -1.00232,   0.15638,  -0.38950,  0.113611
  -0.54014,  -1.44478,  -0.24429,   0.09068,  0.111492
  -0.70591,  -1.02177,   0.28574,  -0.27126,  0.140191
   1.10010,   1.46431,   0.21184,  -0.31554,  0.092286
   0.78104,   0.94379,  -0.45685,  -0.19335,  0.142184
   1.12744,  -1.13864,   0.00218,   0.26849,  0.106976
  -0.90112,   1.41738,   0.04884,  -0.25729,  0.101604
   0.87266,   0.17861,  -0.59991,   0.31835,  0.195924
   1.65957,  -1.91343,   0.06662,   0.13263,  0.063317
   1.56795,   1.88697,   0.06155,   0.22320,  0.065785
  -0.22434,  -1.88864,  -0.20573,   0.25860,  0.088449
  -0.23662,  -1.88981,   0.03169,   0.22494,  0.088309
   0.10892,  -0.73915,   0.35031,   0.23812,  0.232717
   0.86443,  -1.08053,   0.15769,  -0.09160,  0.125204
   0.64093,  -1.24471,   0.00031,  -0.13234,  0.123665
  -1.99316,   0.98563,  -0.42853,  -0.13974,  0.073900
  -0.86379,  -1.40487,   0.06244,  -0.12613,  0.103663
   0.49476,  -0.33294,  -0.49520,   0.01275,  0.290057
  -0.47235,  -0.92636,   0.04550,  -0.06178,  0.167991
  -0.92112,   1.99250,   0.61084,   0.27943,  0.075019
   0.45821,  -0.82103,   0.16490,  -0.09748,  0.185735
   1.13420,   1.99012,   0.27128,   0.16828,  0.071366
  -1.33084,  -0.77982,  -0.17918,  -0.48590,  0.111489
   0.98974,  -0.14551,  -0.32576,  -0.01534,  0.174626
   0.95280,  -1.24783,   0.56191,  -0.05204,  0.109375
  -0.03781,   1.08403,  -0.10093,  -0.27659,  0.160994
   0.56431,   0.02713,  -0.19450,   0.36332,  0.306016
   1.99054,   1.51358,  -0.73970,  -0.20897,  0.064299
  -0.95199,   0.29035,  -0.20500,   0.29891,  0.175518
  -0.30111,  -0.32960,  -0.60874,  -0.50295,  0.389173
   0.20308,  -0.96201,  -0.17240,   0.30460,  0.177667
   1.09322,  -1.44194,   0.46086,   0.02395,  0.093544
   1.33479,  -1.78551,   0.07933,  -0.17650,  0.073677
   0.03743,   0.29982,   0.57740,  -0.16753,  0.616971
  -1.10329,   1.30598,  -0.65566,  -0.36944,  0.099637
  -0.42596,   0.64727,   0.01744,   0.28955,  0.224594
   1.18454,  -0.82956,  -0.26806,   0.42872,  0.119480
  -0.14422,   0.91008,   0.01453,   0.36208,  0.189485
   0.11446,  -0.53772,   0.30839,   0.51181,  0.314432
  -0.84521,   1.67428,  -0.23315,   0.02048,  0.089855
  -1.21972,   0.87674,   0.05206,   0.02794,  0.114720
   0.75649,   1.21178,   0.41365,  -0.53754,  0.121049
  -0.71722,  -1.14107,  -0.04688,  -0.10585,  0.128731
   0.42659,  -0.18806,  -0.19599,   0.27211,  0.371863
   0.68238,   1.75870,  -0.24266,  -0.34447,  0.089269
  -0.75445,   1.65446,   0.21037,   0.14335,  0.093034
  -1.58156,  -0.11473,  -0.34277,   0.41992,  0.108199
